Base,ClimateID, WeatherID,jday,date,Hour,Srad,temperature,rain,wind,RH,CO2
BARC,BARC,FSP,129,05/09/2005,1,0,9.87,0,0.036,86.5,379
BARC,BARC,FSP,129,05/09/2005,2,0,8.38,0,0.069,93.5,379
BARC,BARC,FSP,129,05/09/2005,3,0,7.61,0,0.042,96.4,379
BARC,BARC,FSP,129,05/09/2005,4,0,7.12,0,0,99.1,379
BARC,BARC,FSP,129,05/09/2005,5,0.0063,6.52,0,0,101,379
BARC,BARC,FSP,129,05/09/2005,6,0.1881,7.59,0,0,101,379
BARC,BARC,FSP,129,05/09/2005,7,0.6327,12.8,0,0.62,82.8,379
BARC,BARC,FSP,129,05/09/2005,8,1.5318,17.1,0,2.7,58.3,379
BARC,BARC,FSP,129,05/09/2005,9,2.1672,18.9,0,3.41,53.5,379
BARC,BARC,FSP,129,05/09/2005,10,2.6856,20.2,0,3.1,51.4,379
BARC,BARC,FSP,129,05/09/2005,11,3.0546,21.4,0,2.74,48.7,379
BARC,BARC,FSP,129,05/09/2005,12,3.2454,22.4,0,2.42,47.1,379
BARC,BARC,FSP,129,05/09/2005,13,3.2445,23.1,0,2.5,46,379
BARC,BARC,FSP,129,05/09/2005,14,3.051,23.9,0,1.96,45.4,379
BARC,BARC,FSP,129,05/09/2005,15,2.6829,24.5,0,2.08,44.6,379
BARC,BARC,FSP,129,05/09/2005,16,2.1609,24.9,0,1.7,43.6,379
BARC,BARC,FSP,129,05/09/2005,17,1.5372,24.4,0,1.42,47.3125,379
BARC,BARC,FSP,129,05/09/2005,18,0.8568,22.5,0,2.17,53,379
BARC,BARC,FSP,129,05/09/2005,19,0.2124,20.8,0,1.35,57.1,379
BARC,BARC,FSP,129,05/09/2005,20,0.0018,18.3,0,0.23,66,379
BARC,BARC,FSP,129,05/09/2005,21,0,14.8,0,0,84.6,379
BARC,BARC,FSP,129,05/09/2005,22,0,12.7,0,0.53,93.7,379
BARC,BARC,FSP,129,05/09/2005,23,0,12.6,0,0.83,94.1,379
BARC,BARC,FSP,130,05/10/2005,0,0,12,0,1,99.4,379
BARC,BARC,FSP,130,05/10/2005,1,0,11.6,0,0.7,101,379
BARC,BARC,FSP,130,05/10/2005,2,0,11,0,0.24,102,379
BARC,BARC,FSP,130,05/10/2005,3,0,10,0,0.008,103,379
BARC,BARC,FSP,130,05/10/2005,4,0,9.14,0,0,104,379
BARC,BARC,FSP,130,05/10/2005,5,0.0054,8.64,0,0,104,379
BARC,BARC,FSP,130,05/10/2005,6,0.2538,8.89,0,0,105,379
BARC,BARC,FSP,130,05/10/2005,7,0.7317,12,0,0.16,102.25,379
BARC,BARC,FSP,130,05/10/2005,8,1.5183,14.6,0,2.05,89.8,379
BARC,BARC,FSP,130,05/10/2005,9,2.1447,16.75,0,2.18,81.2,379
BARC,BARC,FSP,130,05/10/2005,10,2.655,18.7,0,2.64,76.3,379
BARC,BARC,FSP,130,05/10/2005,11,3.0141,20.5,0,2.71,71.3,379
BARC,BARC,FSP,130,05/10/2005,12,3.2112,22.1,0,3.26,66.1,379
BARC,BARC,FSP,130,05/10/2005,13,3.1878,22.9,0,3.08,66.9,379
BARC,BARC,FSP,130,05/10/2005,14,2.961,23,0,3.34,67.6,379
BARC,BARC,FSP,130,05/10/2005,15,2.5893,22.8125,0,3.69,66.3,379
BARC,BARC,FSP,130,05/10/2005,16,2.0646,22.7,0,3.76,65.1,379
BARC,BARC,FSP,130,05/10/2005,17,1.4481,22.2,0,3.65,66.1,379
BARC,BARC,FSP,130,05/10/2005,18,0.7713,21.1,0,2.87,69.4,379
BARC,BARC,FSP,130,05/10/2005,19,0.1386,19.2,0,2.16,74.7,379
BARC,BARC,FSP,130,05/10/2005,20,0.0018,17.2,0,1.37,80.3,379
BARC,BARC,FSP,130,05/10/2005,21,0,15.4,0,0.85,86.6,379
BARC,BARC,FSP,130,05/10/2005,22,0,14.7,0,0.83,90.9,379
BARC,BARC,FSP,130,05/10/2005,23,0,13.4,0,0.65,97,379
BARC,BARC,FSP,131,05/11/2005,0,0,12.5,0,0.75,100.625,379
BARC,BARC,FSP,131,05/11/2005,1,0,11.8,0,0.095,102.375,379
BARC,BARC,FSP,131,05/11/2005,2,0,11.3,0,0.003,104,379
BARC,BARC,FSP,131,05/11/2005,3,0,11.5,0,0.15,104,379
BARC,BARC,FSP,131,05/11/2005,4,0,11.9,0,0.51,104,379
BARC,BARC,FSP,131,05/11/2005,5,0.0036,11.9,0,0.88,104,379
BARC,BARC,FSP,131,05/11/2005,6,0.0819,12,0,1.06,104,379
BARC,BARC,FSP,131,05/11/2005,7,0.3519,12.7,0,0.92,103,379
BARC,BARC,FSP,131,05/11/2005,8,0.7011,14.1,0,0.46,100,379
BARC,BARC,FSP,131,05/11/2005,9,1.7064,16.3,0,0.55,93.5,379
BARC,BARC,FSP,131,05/11/2005,10,2.5299,19.1,0,0.35,85.4,379
BARC,BARC,FSP,131,05/11/2005,11,2.8206,21.5,0,0.72,80.4,379
BARC,BARC,FSP,131,05/11/2005,12,3.06,23.9,0,1.24,75,379
BARC,BARC,FSP,131,05/11/2005,13,3.1608,26,0,1.58,69.1,379
BARC,BARC,FSP,131,05/11/2005,14,2.9205,27.7,0,2.15,61.5,379
BARC,BARC,FSP,131,05/11/2005,15,2.4966,28.5,0,3.23,59.1,379
BARC,BARC,FSP,131,05/11/2005,16,1.9755,28.7,0,3.31,58.5,379
BARC,BARC,FSP,131,05/11/2005,17,1.3329,28.4,0,3.38,60.3,379
BARC,BARC,FSP,131,05/11/2005,18,0.5058,27.7,0,3.02,62,379
BARC,BARC,FSP,131,05/11/2005,19,0.1557,26.7,0,2.5,65.7,379
BARC,BARC,FSP,131,05/11/2005,20,0.0018,25.1,0,0.99,72.1,379
BARC,BARC,FSP,131,05/11/2005,21,0,24,0,1.3,76.4,379
BARC,BARC,FSP,131,05/11/2005,22,0,23,0,0.52,80.1,379
BARC,BARC,FSP,131,05/11/2005,23,0,19.7,0,0.2,92.6,379
BARC,BARC,FSP,132,05/12/2005,0,0,18.3,0,0.16,98.75,379
BARC,BARC,FSP,132,05/12/2005,1,0,17.4,0,0.17,102,379
BARC,BARC,FSP,132,05/12/2005,2,0,18.8,0,1,94.4,379
BARC,BARC,FSP,132,05/12/2005,3,0,22.6,0,4.18,71.5,379
BARC,BARC,FSP,132,05/12/2005,4,0,21.8,0,3.01,74.3,379
BARC,BARC,FSP,132,05/12/2005,5,0.0027,21,0,1.69,78.2,379
BARC,BARC,FSP,132,05/12/2005,6,0.0432,20.5,0,1.22,80.875,379
BARC,BARC,FSP,132,05/12/2005,7,0.3042,20.6,0,1.49,78.9,379
